permission,protection_level,constant_value,added_in_API_level
ACCEPT_HANDOVER,dangerous,android.permission.ACCEPT_HANDOVER,28
ACCESS_BACKGROUND_LOCATION,dangerous,android.permission.ACCESS_BACKGROUND_LOCATION,29
ACCESS_CHECKIN_PROPERTIES,Not for use by third-party applications.,android.permission.ACCESS_BACKGROUND_LOCATION,1
ACCESS_COARSE_LOCATION,dangerous,android.permission.ACCESS_COARSE_LOCATION,1
ACCESS_FINE_LOCATION,dangerous,android.permission.ACCESS_FINE_LOCATION,1
ACCESS_LOCATION_EXTRA_COMMANDS,normal,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,1
ACCESS_MEDIA_LOCATION,dangerous,android.permission.ACCESS_MEDIA_LOCATION,29
ACCESS_NETWORK_STATE,normal,android.permission.ACCESS_NETWORK_STATE,1
ACCESS_NOTIFICATION_POLICY,normal,android.permission.ACCESS_NOTIFICATION_POLICY,23
ACCESS_WIFI_STATE,normal,android.permission.ACCESS_WIFI_STATE,1
ACCOUNT_MANAGER,normal,android.permission.ACCESS_WIFI_STATE,5
ACTIVITY_RECOGNITION,dangerous,android.permission.ACTIVITY_RECOGNITION,29
ADD_VOICEMAIL,dangerous,com.android.voicemail.permission.ADD_VOICEMAIL,14
ANSWER_PHONE_CALLS,dangerous,android.permission.ANSWER_PHONE_CALLS,26
BATTERY_STATS,signature|privileged|development,android.permission.BATTERY_STATS,1
BIND_ACCESSIBILITY_SERVICE,signature,android.permission.BIND_ACCESSIBILITY_SERVICE,16
BIND_APPWIDGET,signature,android.permission.BIND_ACCESSIBILITY_SERVICE,3
BIND_AUTOFILL_SERVICE,signature,android.permission.BIND_AUTOFILL_SERVICE,26
BIND_CALL_REDIRECTION_SERVICE,signature|privileged,android.permission.BIND_CALL_REDIRECTION_SERVICE,29
BIND_CARRIER_MESSAGING_CLIENT_SERVICE,signature,android.permission.BIND_CARRIER_MESSAGING_CLIENT_SERVICE,29
BIND_CARRIER_MESSAGING_SERVICE,signature,android.permission.BIND_CARRIER_MESSAGING_CLIENT_SERVICE,22
BIND_CARRIER_SERVICES,signature|privileged,android.permission.BIND_CARRIER_SERVICES,23
BIND_CHOOSER_TARGET_SERVICE,signature,android.permission.BIND_CHOOSER_TARGET_SERVICE,23
BIND_COMPANION_DEVICE_SERVICE,signature,android.permission.BIND_CHOOSER_TARGET_SERVICE,S
BIND_CONDITION_PROVIDER_SERVICE,signature,android.permission.BIND_CONDITION_PROVIDER_SERVICE,24
BIND_CONTROLS,signature,android.permission.BIND_CONDITION_PROVIDER_SERVICE,30
BIND_DEVICE_ADMIN,signature,android.permission.BIND_DEVICE_ADMIN,8
BIND_DREAM_SERVICE,signature,android.permission.BIND_DREAM_SERVICE,21
BIND_INCALL_SERVICE,signature|privileged,android.permission.BIND_INCALL_SERVICE,23
BIND_INPUT_METHOD,signature,android.permission.BIND_INPUT_METHOD,3
BIND_MIDI_DEVICE_SERVICE,signature,android.permission.BIND_MIDI_DEVICE_SERVICE,23
BIND_NFC_SERVICE,signature,android.permission.BIND_NFC_SERVICE,19
BIND_NOTIFICATION_LISTENER_SERVICE,signature,android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,18
BIND_PRINT_SERVICE,signature,android.permission.BIND_PRINT_SERVICE,19
BIND_QUICK_ACCESS_WALLET_SERVICE,signature,android.permission.BIND_QUICK_ACCESS_WALLET_SERVICE,30
BIND_QUICK_SETTINGS_TILE,signature,android.permission.BIND_QUICK_ACCESS_WALLET_SERVICE,24
BIND_REMOTEVIEWS,signature|privileged,android.permission.BIND_REMOTEVIEWS,11
BIND_SCREENING_SERVICE,signature|privileged,android.permission.BIND_SCREENING_SERVICE,24
BIND_TELECOM_CONNECTION_SERVICE,signature|privileged,android.permission.BIND_TELECOM_CONNECTION_SERVICE,23
BIND_TEXT_SERVICE,signature,android.permission.BIND_TEXT_SERVICE,14
BIND_TV_INPUT,signature|privileged,android.permission.BIND_TV_INPUT,21
BIND_VISUAL_VOICEMAIL_SERVICE,signature|privileged,android.permission.BIND_VISUAL_VOICEMAIL_SERVICE,26
BIND_VOICE_INTERACTION,signature,android.permission.BIND_VOICE_INTERACTION,21
BIND_VPN_SERVICE,signature,android.permission.BIND_VPN_SERVICE,14
BIND_VR_LISTENER_SERVICE,signature,android.permission.BIND_VR_LISTENER_SERVICE,24
BIND_WALLPAPER,signature|privileged,android.permission.BIND_WALLPAPER,8
BLUETOOTH,normal,android.permission.BLUETOOTH,1
BLUETOOTH_ADMIN,normal,android.permission.BLUETOOTH_ADMIN,1
BLUETOOTH_CONNECT,dangerous,android.permission.BLUETOOTH_CONNECT,S
BLUETOOTH_PRIVILEGED,dangerous,android.permission.BLUETOOTH_CONNECT,19
BLUETOOTH_SCAN,dangerous,android.permission.BLUETOOTH_SCAN,S
BODY_SENSORS,dangerous,android.permission.BODY_SENSORS,20
BROADCAST_PACKAGE_REMOVED,dangerous,android.permission.BODY_SENSORS,1
BROADCAST_SMS,dangerous,android.permission.BODY_SENSORS,2
BROADCAST_STICKY,normal,android.permission.BROADCAST_STICKY,1
BROADCAST_WAP_PUSH,normal,android.permission.BROADCAST_STICKY,2
CALL_COMPANION_APP,normal,android.permission.CALL_COMPANION_APP,29
CALL_PHONE,dangerous,android.permission.CALL_PHONE,1
CALL_PRIVILEGED,dangerous,android.permission.CALL_PHONE,1
CAMERA,dangerous,android.permission.CAMERA,1
CAPTURE_AUDIO_OUTPUT,dangerous,android.permission.CAMERA,19
CHANGE_COMPONENT_ENABLED_STATE,dangerous,android.permission.CAMERA,1
CHANGE_CONFIGURATION,signature|privileged|development,android.permission.CHANGE_CONFIGURATION,1
CHANGE_NETWORK_STATE,normal,android.permission.CHANGE_NETWORK_STATE,1
CHANGE_WIFI_MULTICAST_STATE,normal,android.permission.CHANGE_WIFI_MULTICAST_STATE,4
CHANGE_WIFI_STATE,normal,android.permission.CHANGE_WIFI_STATE,1
CLEAR_APP_CACHE,signature|privileged,android.permission.CLEAR_APP_CACHE,1
CONTROL_LOCATION_UPDATES,signature|privileged,android.permission.CLEAR_APP_CACHE,1
DELETE_CACHE_FILES,signature|privileged,android.permission.DELETE_CACHE_FILES,1
DELETE_PACKAGES,signature|privileged,android.permission.DELETE_CACHE_FILES,1
DIAGNOSTIC,signature|privileged,android.permission.DELETE_CACHE_FILES,1
DISABLE_KEYGUARD,normal,android.permission.DISABLE_KEYGUARD,1
DUMP,normal,android.permission.DISABLE_KEYGUARD,1
EXPAND_STATUS_BAR,normal,android.permission.EXPAND_STATUS_BAR,1
FACTORY_TEST,normal,android.permission.EXPAND_STATUS_BAR,1
FOREGROUND_SERVICE,normal,android.permission.FOREGROUND_SERVICE,28
GET_ACCOUNTS,dangerous,android.permission.GET_ACCOUNTS,1
GET_ACCOUNTS_PRIVILEGED,signature|privileged,android.permission.GET_ACCOUNTS_PRIVILEGED,23
GET_PACKAGE_SIZE,normal,android.permission.GET_PACKAGE_SIZE,1
GET_TASKS,normal,android.permission.GET_PACKAGE_SIZE,1
GLOBAL_SEARCH,signature|privileged,android.permission.GLOBAL_SEARCH,4
HIDE_OVERLAY_WINDOWS,signature|privileged,android.permission.GLOBAL_SEARCH,S
HIGH_SAMPLING_RATE_SENSORS,normal,android.permission.HIGH_SAMPLING_RATE_SENSORS,S
INSTALL_LOCATION_PROVIDER,normal,android.permission.HIGH_SAMPLING_RATE_SENSORS,4
INSTALL_PACKAGES,normal,android.permission.HIGH_SAMPLING_RATE_SENSORS,1
INSTALL_SHORTCUT,normal,com.android.launcher.permission.INSTALL_SHORTCUT,19
